name,sex,age,Passenger_Class,fare,Sibling_Spouses,Parents_Children,embarked,survived
"Baimbrigge, Mr. Charles Robert",Male,23.0,2,10.5,0,0,S,0
"Ball, Mrs. (Ada E Hall)",Female,36.0,2,13.0,0,0,S,1
"Banfield, Mr. Frederick James",Male,28.0,2,10.5,0,0,S,0
"Bateman, Rev. Robert James",Male,51.0,2,12.525,0,0,S,0
"Beane, Mr. Edward",Male,32.0,2,26.0,1,0,S,1
"Beane, Mrs. Edward (Ethel Clarke)",Female,19.0,2,26.0,1,0,S,1
"Beauchamp, Mr. Henry James",Male,28.0,2,26.0,0,0,S,0
"Becker, Master. Richard F",Male,1.0,2,39.0,2,1,S,1
"Becker, Miss. Marion Louise",Female,4.0,2,39.0,2,1,S,1
"Becker, Miss. Ruth Elizabeth",Female,12.0,2,39.0,2,1,S,1
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",Female,36.0,2,39.0,0,3,S,1
"Beesley, Mr. Lawrence",Male,34.0,2,13.0,0,0,S,1
"Bentham, Miss. Lilian W",Female,19.0,2,13.0,0,0,S,1
"Berriman, Mr. William John",Male,23.0,2,13.0,0,0,S,0
"Botsford, Mr. William Hull",Male,26.0,2,13.0,0,0,S,0
"Bowenur, Mr. Solomon",Male,42.0,2,13.0,0,0,S,0
"Bracken, Mr. James H",Male,27.0,2,13.0,0,0,S,0
"Brown, Miss. Amelia ""Mildred""",Female,24.0,2,13.0,0,0,S,1
"Brown, Miss. Edith Eileen",Female,15.0,2,39.0,0,2,S,1
"Brown, Mr. Thomas William Solomon",Male,60.0,2,39.0,1,1,S,0
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",Female,40.0,2,39.0,1,1,S,1
"Bryhl, Miss. Dagmar Jenny Ingeborg",Female,20.0,2,26.0,1,0,S,1
"Bryhl, Mr. Kurt Arnold Gottfrid",Male,25.0,2,26.0,1,0,S,0
"Buss, Miss. Kate",Female,36.0,2,13.0,0,0,S,1
"Butler, Mr. Reginald Fenton",Male,25.0,2,13.0,0,0,S,0
"Byles, Rev. Thomas Roussel Davids",Male,42.0,2,13.0,0,0,S,0
"Bystrom, Mrs. (Karolina)",Female,42.0,2,13.0,0,0,S,1
"Caldwell, Master. Alden Gates",Male,0.8333,2,29.0,0,2,S,1
"Caldwell, Mr. Albert Francis",Male,26.0,2,29.0,1,1,S,1
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",Female,22.0,2,29.0,1,1,S,1
"Cameron, Miss. Clear Annie",Female,35.0,2,21.0,0,0,S,1
"Campbell, Mr. William",Male,28.0,2,0.0,0,0,S,0
"Carbines, Mr. William",Male,19.0,2,13.0,0,0,S,0
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",Female,44.0,2,26.0,1,0,S,0
"Carter, Rev. Ernest Courtenay",Male,54.0,2,26.0,1,0,S,0
"Chapman, Mr. Charles Henry",Male,52.0,2,13.5,0,0,S,0
"Chapman, Mr. John Henry",Male,37.0,2,26.0,1,0,S,0
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",Female,29.0,2,26.0,1,0,S,0
"Christy, Miss. Julie Rachel",Female,25.0,2,30.0,1,1,S,1
"Christy, Mrs. (Alice Frances)",Female,45.0,2,30.0,0,2,S,1
"Clarke, Mr. Charles Valentine",Male,29.0,2,26.0,1,0,S,0
"Clarke, Mrs. Charles V (Ada Maria Winfield)",Female,28.0,2,26.0,1,0,S,1
"Coleridge, Mr. Reginald Charles",Male,29.0,2,10.5,0,0,S,0
"Collander, Mr. Erik Gustaf",Male,28.0,2,13.0,0,0,S,0
"Collett, Mr. Sidney C Stuart",Male,24.0,2,10.5,0,0,S,1
"Collyer, Miss. Marjorie ""Lottie""",Female,8.0,2,26.25,0,2,S,1
"Collyer, Mr. Harvey",Male,31.0,2,26.25,1,1,S,0
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",Female,31.0,2,26.25,1,1,S,1
"Cook, Mrs. (Selena Rogers)",Female,22.0,2,10.5,0,0,S,1
"Corbett, Mrs. Walter H (Irene Colvin)",Female,30.0,2,13.0,0,0,S,0
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",Female,28.0,2,21.0,0,0,S,0
"Cotterill, Mr. Henry ""Harry""",Male,21.0,2,11.5,0,0,S,0
"Cunningham, Mr. Alfred Fleming",Male,28.0,2,0.0,0,0,S,0
"Davies, Master. John Morgan Jr",Male,8.0,2,36.75,1,1,S,1
"Davies, Mr. Charles Henry",Male,18.0,2,73.5,0,0,S,0
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)",Female,48.0,2,36.75,0,2,S,1
"Davis, Miss. Mary",Female,28.0,2,13.0,0,0,S,1
"de Brito, Mr. Jose Joaquim",Male,32.0,2,13.0,0,0,S,0
"Deacon, Mr. Percy William",Male,17.0,2,73.5,0,0,S,0
"del Carlo, Mr. Sebastiano",Male,29.0,2,27.7208,1,0,C,0
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",Female,24.0,2,27.7208,1,0,C,1
"Denbury, Mr. Herbert",Male,25.0,2,31.5,0,0,S,0
"Dibden, Mr. William",Male,18.0,2,73.5,0,0,S,0
"Doling, Miss. Elsie",Female,18.0,2,23.0,0,1,S,1
"Doling, Mrs. John T (Ada Julia Bone)",Female,34.0,2,23.0,0,1,S,1
"Downton, Mr. William James",Male,54.0,2,26.0,0,0,S,0
"Drew, Master. Marshall Brines",Male,8.0,2,32.5,0,2,S,1
"Drew, Mr. James Vivian",Male,42.0,2,32.5,1,1,S,0
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",Female,34.0,2,32.5,1,1,S,1
"Duran y More, Miss. Asuncion",Female,27.0,2,13.8583,1,0,C,1
"Duran y More, Miss. Florentina",Female,30.0,2,13.8583,1,0,C,1
"Eitemiller, Mr. George Floyd",Male,23.0,2,13.0,0,0,S,0
"Enander, Mr. Ingvar",Male,21.0,2,13.0,0,0,S,0
"Fahlstrom, Mr. Arne Jonas",Male,18.0,2,13.0,0,0,S,0
"Faunthorpe, Mr. Harry",Male,40.0,2,26.0,1,0,S,0
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Female,29.0,2,26.0,1,0,S,1
"Fillbrook, Mr. Joseph Charles",Male,18.0,2,10.5,0,0,S,0
"Fox, Mr. Stanley Hubert",Male,36.0,2,13.0,0,0,S,0
"Frost, Mr. Anthony Wood ""Archie""",Male,28.0,2,0.0,0,0,S,0
"Funk, Miss. Annie Clemmer",Female,38.0,2,13.0,0,0,S,0
"Fynney, Mr. Joseph J",Male,35.0,2,26.0,0,0,S,0
"Gale, Mr. Harry",Male,38.0,2,21.0,1,0,S,0
"Gale, Mr. Shadrach",Male,34.0,2,21.0,1,0,S,0
"Garside, Miss. Ethel",Female,34.0,2,13.0,0,0,S,1
"Gaskell, Mr. Alfred",Male,16.0,2,26.0,0,0,S,0
"Gavey, Mr. Lawrence",Male,26.0,2,10.5,0,0,S,0
"Gilbert, Mr. William",Male,47.0,2,10.5,0,0,S,0
"Giles, Mr. Edgar",Male,21.0,2,11.5,1,0,S,0
"Giles, Mr. Frederick Edward",Male,21.0,2,11.5,1,0,S,0
"Giles, Mr. Ralph",Male,24.0,2,13.5,0,0,S,0
"Gill, Mr. John William",Male,24.0,2,13.0,0,0,S,0
"Gillespie, Mr. William Henry",Male,34.0,2,13.0,0,0,S,0
"Givard, Mr. Hans Kristensen",Male,30.0,2,13.0,0,0,S,0
"Greenberg, Mr. Samuel",Male,52.0,2,13.0,0,0,S,0
"Hale, Mr. Reginald",Male,30.0,2,13.0,0,0,S,0
"Hamalainen, Master. Viljo",Male,0.6667,2,14.5,1,1,S,1
"Hamalainen, Mrs. William (Anna)",Female,24.0,2,14.5,0,2,S,1
"Harbeck, Mr. William H",Male,44.0,2,13.0,0,0,S,0
"Harper, Miss. Annie Jessie ""Nina""",Female,6.0,2,33.0,0,1,S,1
"Harper, Rev. John",Male,28.0,2,33.0,0,1,S,0
"Harris, Mr. George",Male,62.0,2,10.5,0,0,S,1
"Harris, Mr. Walter",Male,30.0,2,10.5,0,0,S,0
"Hart, Miss. Eva Miriam",Female,7.0,2,26.25,0,2,S,1
"Hart, Mr. Benjamin",Male,43.0,2,26.25,1,1,S,0
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",Female,45.0,2,26.25,1,1,S,1
"Herman, Miss. Alice",Female,24.0,2,65.0,1,2,S,1
"Herman, Miss. Kate",Female,24.0,2,65.0,1,2,S,1
"Herman, Mr. Samuel",Male,49.0,2,65.0,1,2,S,0
"Herman, Mrs. Samuel (Jane Laver)",Female,48.0,2,65.0,1,2,S,1
"Hewlett, Mrs. (Mary D Kingcome)",Female,55.0,2,16.0,0,0,S,1
"Hickman, Mr. Leonard Mark",Male,24.0,2,73.5,2,0,S,0
"Hickman, Mr. Lewis",Male,32.0,2,73.5,2,0,S,0
"Hickman, Mr. Stanley George",Male,21.0,2,73.5,2,0,S,0
"Hiltunen, Miss. Marta",Female,18.0,2,13.0,1,1,S,0
"Hocking, Miss. Ellen ""Nellie""",Female,20.0,2,23.0,2,1,S,1
"Hocking, Mr. Richard George",Male,23.0,2,11.5,2,1,S,0
"Hocking, Mr. Samuel James Metcalfe",Male,36.0,2,13.0,0,0,S,0
"Hocking, Mrs. Elizabeth (Eliza Needs)",Female,54.0,2,23.0,1,3,S,1
"Hodges, Mr. Henry Price",Male,50.0,2,13.0,0,0,S,0
"Hold, Mr. Stephen",Male,44.0,2,26.0,1,0,S,0
"Hold, Mrs. Stephen (Annie Margaret Hill)",Female,29.0,2,26.0,1,0,S,1
"Hood, Mr. Ambrose Jr",Male,21.0,2,73.5,0,0,S,0
"Hosono, Mr. Masabumi",Male,42.0,2,13.0,0,0,S,1
"Howard, Mr. Benjamin",Male,63.0,2,26.0,1,0,S,0
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",Female,60.0,2,26.0,1,0,S,0
"Hunt, Mr. George Henry",Male,33.0,2,12.275,0,0,S,0
"Ilett, Miss. Bertha",Female,17.0,2,10.5,0,0,S,1
"Jacobsohn, Mr. Sidney Samuel",Male,42.0,2,27.0,1,0,S,0
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",Female,24.0,2,27.0,2,1,S,1
"Jarvis, Mr. John Denzil",Male,47.0,2,15.0,0,0,S,0
"Jefferys, Mr. Clifford Thomas",Male,24.0,2,31.5,2,0,S,0
"Jefferys, Mr. Ernest Wilfred",Male,22.0,2,31.5,2,0,S,0
"Jenkin, Mr. Stephen Curnow",Male,32.0,2,10.5,0,0,S,0
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",Female,23.0,2,13.7917,0,0,C,1
"Kantor, Mr. Sinai",Male,34.0,2,26.0,1,0,S,0
"Kantor, Mrs. Sinai (Miriam Sternin)",Female,24.0,2,26.0,1,0,S,1
"Karnes, Mrs. J Frank (Claire Bennett)",Female,22.0,2,21.0,0,0,S,0
"Keane, Miss. Nora A",Female,28.0,2,12.35,0,0,Q,1
"Keane, Mr. Daniel",Male,35.0,2,12.35,0,0,Q,0
"Kelly, Mrs. Florence ""Fannie""",Female,45.0,2,13.5,0,0,S,1
"Kirkland, Rev. Charles Leonard",Male,57.0,2,12.35,0,0,Q,0
"Knight, Mr. Robert J",Male,28.0,2,0.0,0,0,S,0
"Kvillner, Mr. Johan Henrik Johannesson",Male,31.0,2,10.5,0,0,S,0
"Lahtinen, Mrs. William (Anna Sylfven)",Female,26.0,2,26.0,1,1,S,0
"Lahtinen, Rev. William",Male,30.0,2,26.0,1,1,S,0
"Lamb, Mr. John Joseph",Male,28.0,2,10.7083,0,0,Q,0
"Laroche, Miss. Louise",Female,1.0,2,41.5792,1,2,C,1
"Laroche, Miss. Simonne Marie Anne Andree",Female,3.0,2,41.5792,1,2,C,1
"Laroche, Mr. Joseph Philippe Lemercier",Male,25.0,2,41.5792,1,2,C,0
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",Female,22.0,2,41.5792,1,2,C,1
"Lehmann, Miss. Bertha",Female,17.0,2,12.0,0,0,C,1
"Leitch, Miss. Jessie Wills",Female,28.0,2,33.0,0,0,S,1
"Lemore, Mrs. (Amelia Milley)",Female,34.0,2,10.5,0,0,S,1
"Levy, Mr. Rene Jacques",Male,36.0,2,12.875,0,0,C,0
"Leyson, Mr. Robert William Norman",Male,24.0,2,10.5,0,0,S,0
"Lingane, Mr. John",Male,61.0,2,12.35,0,0,Q,0
"Louch, Mr. Charles Alexander",Male,50.0,2,26.0,1,0,S,0
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",Female,42.0,2,26.0,1,0,S,1
"Mack, Mrs. (Mary)",Female,57.0,2,10.5,0,0,S,0
"Malachard, Mr. Noel",Male,28.0,2,15.0458,0,0,C,0
"Mallet, Master. Andre",Male,1.0,2,37.0042,0,2,C,1
"Mallet, Mr. Albert",Male,31.0,2,37.0042,1,1,C,0
"Mallet, Mrs. Albert (Antoinette Magnin)",Female,24.0,2,37.0042,1,1,C,1
"Mangiavacchi, Mr. Serafino Emilio",Male,28.0,2,15.5792,0,0,C,0
"Matthews, Mr. William John",Male,30.0,2,13.0,0,0,S,0
"Maybery, Mr. Frank Hubert",Male,40.0,2,16.0,0,0,S,0
"McCrae, Mr. Arthur Gordon",Male,32.0,2,13.5,0,0,S,0
"McCrie, Mr. James Matthew",Male,30.0,2,13.0,0,0,S,0
"McKane, Mr. Peter David",Male,46.0,2,26.0,0,0,S,0
"Mellinger, Miss. Madeleine Violet",Female,13.0,2,19.5,0,1,S,1
"Mellinger, Mrs. (Elizabeth Anne Maidment)",Female,41.0,2,19.5,0,1,S,1
"Mellors, Mr. William John",Male,19.0,2,10.5,0,0,S,1
"Meyer, Mr. August",Male,39.0,2,13.0,0,0,S,0
"Milling, Mr. Jacob Christian",Male,48.0,2,13.0,0,0,S,0
"Mitchell, Mr. Henry Michael",Male,70.0,2,10.5,0,0,S,0
"Montvila, Rev. Juozas",Male,27.0,2,13.0,0,0,S,0
"Moraweck, Dr. Ernest",Male,54.0,2,14.0,0,0,S,0
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",Male,39.0,2,26.0,0,0,S,0
"Mudd, Mr. Thomas Charles",Male,16.0,2,10.5,0,0,S,0
"Myles, Mr. Thomas Francis",Male,62.0,2,9.6875,0,0,Q,0
"Nasser, Mr. Nicholas",Male,32.5,2,30.0708,1,0,C,0
"Nasser, Mrs. Nicholas (Adele Achem)",Female,14.0,2,30.0708,1,0,C,1
"Navratil, Master. Edmond Roger",Male,2.0,2,26.0,1,1,S,1
"Navratil, Master. Michel M",Male,3.0,2,26.0,1,1,S,1
"Navratil, Mr. Michel (""Louis M Hoffman"")",Male,36.5,2,26.0,0,2,S,0
"Nesson, Mr. Israel",Male,26.0,2,13.0,0,0,S,0
"Nicholls, Mr. Joseph Charles",Male,19.0,2,36.75,1,1,S,0
"Norman, Mr. Robert Douglas",Male,28.0,2,13.5,0,0,S,0
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",Male,20.0,2,13.8625,0,0,C,1
"Nye, Mrs. (Elizabeth Ramell)",Female,29.0,2,10.5,0,0,S,1
"Otter, Mr. Richard",Male,39.0,2,13.0,0,0,S,0
"Oxenham, Mr. Percy Thomas",Male,22.0,2,10.5,0,0,S,1
"Padro y Manent, Mr. Julian",Male,28.0,2,13.8625,0,0,C,1
"Pain, Dr. Alfred",Male,23.0,2,10.5,0,0,S,0
"Pallas y Castello, Mr. Emilio",Male,29.0,2,13.8583,0,0,C,1
"Parker, Mr. Clifford Richard",Male,28.0,2,10.5,0,0,S,0
"Parkes, Mr. Francis ""Frank""",Male,28.0,2,0.0,0,0,S,0
"Parrish, Mrs. (Lutie Davis)",Female,50.0,2,26.0,0,1,S,1
"Pengelly, Mr. Frederick William",Male,19.0,2,10.5,0,0,S,0
"Pernot, Mr. Rene",Male,28.0,2,15.05,0,0,C,0
"Peruschitz, Rev. Joseph Maria",Male,41.0,2,13.0,0,0,S,0
"Phillips, Miss. Alice Frances Louisa",Female,21.0,2,21.0,0,1,S,1
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",Female,19.0,2,26.0,0,0,S,1
"Phillips, Mr. Escott Robert",Male,43.0,2,21.0,0,1,S,0
"Pinsky, Mrs. (Rosa)",Female,32.0,2,13.0,0,0,S,1
"Ponesell, Mr. Martin",Male,34.0,2,13.0,0,0,S,0
"Portaluppi, Mr. Emilio Ilario Giuseppe",Male,30.0,2,12.7375,0,0,C,1
"Pulbaum, Mr. Franz",Male,27.0,2,15.0333,0,0,C,0
"Quick, Miss. Phyllis May",Female,2.0,2,26.0,1,1,S,1
"Quick, Miss. Winifred Vera",Female,8.0,2,26.0,1,1,S,1
"Quick, Mrs. Frederick Charles (Jane Richards)",Female,33.0,2,26.0,0,2,S,1
"Reeves, Mr. David",Male,36.0,2,10.5,0,0,S,0
"Renouf, Mr. Peter Henry",Male,34.0,2,21.0,1,0,S,0
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",Female,30.0,2,21.0,3,0,S,1
"Reynaldo, Ms. Encarnacion",Female,28.0,2,13.0,0,0,S,1
"Richard, Mr. Emile",Male,23.0,2,15.0458,0,0,C,0
"Richards, Master. George Sibley",Male,0.8333,2,18.75,1,1,S,1
"Richards, Master. William Rowe",Male,3.0,2,18.75,1,1,S,1
"Richards, Mrs. Sidney (Emily Hocking)",Female,24.0,2,18.75,2,3,S,1
"Ridsdale, Miss. Lucy",Female,50.0,2,10.5,0,0,S,1
"Rogers, Mr. Reginald Harry",Male,19.0,2,10.5,0,0,S,0
"Rugg, Miss. Emily",Female,21.0,2,10.5,0,0,S,1
"Schmidt, Mr. August",Male,26.0,2,13.0,0,0,S,0
"Sedgwick, Mr. Charles Frederick Waddington",Male,25.0,2,13.0,0,0,S,0
"Sharp, Mr. Percival James R",Male,27.0,2,26.0,0,0,S,0
"Shelley, Mrs. William (Imanita Parrish Hall)",Female,25.0,2,26.0,0,1,S,1
"Silven, Miss. Lyyli Karoliina",Female,18.0,2,13.0,0,2,S,1
"Sincock, Miss. Maude",Female,20.0,2,36.75,0,0,S,1
"Sinkkonen, Miss. Anna",Female,30.0,2,13.0,0,0,S,1
"Sjostedt, Mr. Ernst Adolf",Male,59.0,2,13.5,0,0,S,0
"Slayter, Miss. Hilda Mary",Female,30.0,2,12.35,0,0,Q,1
"Slemen, Mr. Richard James",Male,35.0,2,10.5,0,0,S,0
"Smith, Miss. Marion Elsie",Female,40.0,2,13.0,0,0,S,1
"Sobey, Mr. Samuel James Hayden",Male,25.0,2,13.0,0,0,S,0
"Stanton, Mr. Samuel Ward",Male,41.0,2,15.0458,0,0,C,0
"Stokes, Mr. Philip Joseph",Male,25.0,2,10.5,0,0,S,0
"Swane, Mr. George",Male,18.5,2,13.0,0,0,S,0
"Sweet, Mr. George Frederick",Male,14.0,2,65.0,0,0,S,0
"Toomey, Miss. Ellen",Female,50.0,2,10.5,0,0,S,1
"Troupiansky, Mr. Moses Aaron",Male,23.0,2,13.0,0,0,S,0
"Trout, Mrs. William H (Jessie L)",Female,28.0,2,12.65,0,0,S,1
"Troutt, Miss. Edwina Celia ""Winnie""",Female,27.0,2,10.5,0,0,S,1
"Turpin, Mr. William John Robert",Male,29.0,2,21.0,1,0,S,0
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Female,27.0,2,21.0,1,0,S,0
"Veal, Mr. James",Male,40.0,2,13.0,0,0,S,0
"Walcroft, Miss. Nellie",Female,31.0,2,21.0,0,0,S,1
"Ware, Mr. John James",Male,30.0,2,21.0,1,0,S,0
"Ware, Mr. William Jeffery",Male,23.0,2,10.5,1,0,S,0
"Ware, Mrs. John James (Florence Louise Long)",Female,31.0,2,21.0,0,0,S,1
"Watson, Mr. Ennis Hastings",Male,28.0,2,0.0,0,0,S,0
"Watt, Miss. Bertha J",Female,12.0,2,15.75,0,0,S,1
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Female,40.0,2,15.75,0,0,S,1
"Webber, Miss. Susan",Female,32.5,2,13.0,0,0,S,1
"Weisz, Mr. Leopold",Male,27.0,2,26.0,1,0,S,0
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Female,29.0,2,26.0,1,0,S,1
"Wells, Master. Ralph Lester",Male,2.0,2,23.0,1,1,S,1
"Wells, Miss. Joan",Female,4.0,2,23.0,1,1,S,1
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",Female,29.0,2,23.0,0,2,S,1
"West, Miss. Barbara J",Female,0.9167,2,27.75,1,2,S,1
"West, Miss. Constance Mirium",Female,5.0,2,27.75,1,2,S,1
"West, Mr. Edwy Arthur",Male,36.0,2,27.75,1,2,S,0
"West, Mrs. Edwy Arthur (Ada Mary Worth)",Female,33.0,2,27.75,1,2,S,1
"Wheadon, Mr. Edward H",Male,66.0,2,10.5,0,0,S,0
"Wheeler, Mr. Edwin ""Frederick""",Male,28.0,2,12.875,0,0,S,0
"Wilhelms, Mr. Charles",Male,31.0,2,13.0,0,0,S,1
"Williams, Mr. Charles Eugene",Male,28.0,2,13.0,0,0,S,1
"Wright, Miss. Marion",Female,26.0,2,13.5,0,0,S,1
"Yrois, Miss. Henriette (""Mrs Harbeck"")",Female,24.0,2,13.0,0,0,S,0
"Abbing, Mr. Anthony",Male,42.0,3,7.55,0,0,S,0
"Abbott, Master. Eugene Joseph",Male,13.0,3,20.25,0,2,S,0
"Abbott, Mr. Rossmore Edward",Male,16.0,3,20.25,1,1,S,0
"Abbott, Mrs. Stanton (Rosa Hunt)",Female,35.0,3,20.25,1,1,S,1
"Abelseth, Miss. Karen Marie",Female,16.0,3,7.65,0,0,S,1
"Abelseth, Mr. Olaus Jorgensen",Male,25.0,3,7.65,0,0,S,1
"Abrahamsson, Mr. Abraham August Johannes",Male,20.0,3,7.925,0,0,S,1
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",Female,18.0,3,7.2292,0,0,C,1
"Adahl, Mr. Mauritz Nils Martin",Male,30.0,3,7.25,0,0,S,0
"Adams, Mr. John",Male,26.0,3,8.05,0,0,S,0
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Female,40.0,3,9.475,1,0,S,0
"Aks, Master. Philip Frank",Male,0.8333,3,9.35,0,1,S,1
"Aks, Mrs. Sam (Leah Rosen)",Female,18.0,3,9.35,0,1,S,1
"Albimona, Mr. Nassef Cassem",Male,26.0,3,18.7875,0,0,C,1
"Alexander, Mr. William",Male,26.0,3,7.8875,0,0,S,0
"Alhomaki, Mr. Ilmari Rudolf",Male,20.0,3,7.925,0,0,S,0
"Ali, Mr. Ahmed",Male,24.0,3,7.05,0,0,S,0
"Ali, Mr. William",Male,25.0,3,7.05,0,0,S,0
"Allen, Mr. William Henry",Male,35.0,3,8.05,0,0,S,0
"Allum, Mr. Owen George",Male,18.0,3,8.3,0,0,S,0
"Andersen, Mr. Albert Karvin",Male,32.0,3,22.525,0,0,S,0
"Andersen-Jensen, Miss. Carla Christine Nielsine",Female,19.0,3,7.8542,1,0,S,1
"Andersson, Master. Sigvard Harald Elias",Male,4.0,3,31.275,4,2,S,0
"Andersson, Miss. Ebba Iris Alfrida",Female,6.0,3,31.275,4,2,S,0
"Andersson, Miss. Ellis Anna Maria",Female,2.0,3,31.275,4,2,S,0
"Andersson, Miss. Erna Alexandra",Female,17.0,3,7.925,4,2,S,1
"Andersson, Miss. Ida Augusta Margareta",Female,38.0,3,7.775,4,2,S,0
"Andersson, Miss. Ingeborg Constanzia",Female,9.0,3,31.275,4,2,S,0
"Andersson, Miss. Sigrid Elisabeth",Female,11.0,3,31.275,4,2,S,0
"Andersson, Mr. Anders Johan",Male,39.0,3,31.275,1,5,S,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",Male,27.0,3,7.7958,0,0,S,1
"Andersson, Mr. Johan Samuel",Male,26.0,3,7.775,0,0,S,0
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",Female,39.0,3,31.275,1,5,S,0
"Andreasson, Mr. Paul Edvin",Male,20.0,3,7.8542,0,0,S,0
"Angheloff, Mr. Minko",Male,26.0,3,7.8958,0,0,S,0
"Arnold-Franchi, Mr. Josef",Male,25.0,3,17.8,1,0,S,0
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Female,18.0,3,17.8,1,0,S,0
"Aronsson, Mr. Ernst Axel Algot",Male,24.0,3,7.775,0,0,S,0
"Asim, Mr. Adola",Male,35.0,3,7.05,0,0,S,0
"Asplund, Master. Carl Edgar",Male,5.0,3,31.3875,4,2,S,0
"Asplund, Master. Clarence Gustaf Hugo",Male,9.0,3,31.3875,4,2,S,0
"Asplund, Master. Edvin Rojj Felix",Male,3.0,3,31.3875,4,2,S,1
"Asplund, Master. Filip Oscar",Male,13.0,3,31.3875,4,2,S,0
"Asplund, Miss. Lillian Gertrud",Female,5.0,3,31.3875,4,2,S,1
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",Male,40.0,3,31.3875,1,5,S,0
"Asplund, Mr. Johan Charles",Male,23.0,3,7.7958,0,0,S,1
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Female,38.0,3,31.3875,1,5,S,1
"Assaf Khalil, Mrs. Mariana (""Miriam"")",Female,45.0,3,7.225,0,0,C,1
"Assaf, Mr. Gerios",Male,21.0,3,7.225,0,0,C,0
"Assam, Mr. Ali",Male,23.0,3,7.05,0,0,S,0
"Attalah, Miss. Malake",Female,17.0,3,14.4583,0,0,C,0
"Attalah, Mr. Sleiman",Male,30.0,3,7.225,0,0,C,0
"Augustsson, Mr. Albert",Male,23.0,3,7.8542,0,0,S,0
"Ayoub, Miss. Banoura",Female,13.0,3,7.2292,0,0,C,1
"Baccos, Mr. Raffull",Male,20.0,3,7.225,0,0,C,0
"Backstrom, Mr. Karl Alfred",Male,32.0,3,15.85,1,0,S,0
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Female,33.0,3,15.85,3,0,S,1
"Baclini, Miss. Eugenie",Female,0.75,3,19.2583,2,1,C,1
"Baclini, Miss. Helene Barbara",Female,0.75,3,19.2583,2,1,C,1
"Baclini, Miss. Marie Catherine",Female,5.0,3,19.2583,2,1,C,1
"Baclini, Mrs. Solomon (Latifa Qurban)",Female,24.0,3,19.2583,0,3,C,1
"Badman, Miss. Emily Louisa",Female,18.0,3,8.05,0,0,S,1
"Badt, Mr. Mohamed",Male,40.0,3,7.225,0,0,C,0
"Balkic, Mr. Cerin",Male,26.0,3,7.8958,0,0,S,0
"Barah, Mr. Hanna Assi",Male,20.0,3,7.2292,0,0,C,1
"Barbara, Miss. Saiide",Female,18.0,3,14.4542,0,1,C,0
"Barbara, Mrs. (Catherine David)",Female,45.0,3,14.4542,0,1,C,0
"Barry, Miss. Julia",Female,27.0,3,7.8792,0,0,Q,0
"Barton, Mr. David John",Male,22.0,3,8.05,0,0,S,0
"Beavan, Mr. William Thomas",Male,19.0,3,8.05,0,0,S,0
"Bengtsson, Mr. John Viktor",Male,26.0,3,7.775,0,0,S,0
"Berglund, Mr. Karl Ivar Sven",Male,22.0,3,9.35,0,0,S,0
"Betros, Master. Seman",Male,28.0,3,7.2292,0,0,C,0
"Betros, Mr. Tannous",Male,20.0,3,4.0125,0,0,C,0
"Bing, Mr. Lee",Male,32.0,3,56.4958,0,0,S,1
"Birkeland, Mr. Hans Martin Monsen",Male,21.0,3,7.775,0,0,S,0
"Bjorklund, Mr. Ernst Herbert",Male,18.0,3,7.75,0,0,S,0
"Bostandyeff, Mr. Guentcho",Male,26.0,3,7.8958,0,0,S,0
"Boulos, Master. Akar",Male,6.0,3,15.2458,1,1,C,0
